rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
58,0.3118040089086859,0.0,0.5360576923076924,0.0,0.09924983978271484,0.0,0.008980989456176758,0.0,100,80,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 80}",0.3118040089086859,0.5360576923076924
58,0.3118040089086859,0.0,0.5360576923076924,0.0,0.08927679061889648,0.0,0.007984399795532227,0.0,100,100,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.3118040089086859,0.5360576923076924
67,0.30963302752293576,0.0,0.5697496167603474,0.0,0.13763070106506348,0.0,0.01695418357849121,0.0,50,2,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 2}",0.30963302752293576,0.5697496167603474
67,0.30963302752293576,0.0,0.5697496167603474,0.0,0.08277702331542969,0.0,0.004987239837646484,0.0,50,5,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 5}",0.30963302752293576,0.5697496167603474
67,0.30963302752293576,0.0,0.5697496167603474,0.0,0.10671353340148926,0.0,0.0059850215911865234,0.0,50,10,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 10}",0.30963302752293576,0.5697496167603474
67,0.30963302752293576,0.0,0.5697496167603474,0.0,0.11369514465332031,0.0,0.005983829498291016,0.0,50,15,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 15}",0.30963302752293576,0.5697496167603474
67,0.30963302752293576,0.0,0.5697496167603474,0.0,0.11469101905822754,0.0,0.0069806575775146484,0.0,50,20,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 20}",0.30963302752293576,0.5697496167603474
67,0.30963302752293576,0.0,0.5697496167603474,0.0,0.10073065757751465,0.0,0.01096963882446289,0.0,50,30,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 30}",0.30963302752293576,0.5697496167603474
67,0.30963302752293576,0.0,0.5697496167603474,0.0,0.09175348281860352,0.0,0.004986763000488281,0.0,50,50,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 50}",0.30963302752293576,0.5697496167603474
67,0.30963302752293576,0.0,0.5697496167603474,0.0,0.1166837215423584,0.0,0.005984306335449219,0.0,50,80,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 80}",0.30963302752293576,0.5697496167603474
67,0.30963302752293576,0.0,0.5697496167603474,0.0,0.08975696563720703,0.0,0.005985260009765625,0.0,50,100,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 100}",0.30963302752293576,0.5697496167603474
76,0.29209621993127144,0.0,0.7453416149068323,0.0,0.11868119239807129,0.0,0.005994319915771484,0.0,5,2,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.29209621993127144,0.7453416149068323
76,0.29209621993127144,0.0,0.7453416149068323,0.0,0.1117548942565918,0.0,0.006927967071533203,0.0,5,5,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 5}",0.29209621993127144,0.7453416149068323
76,0.29209621993127144,0.0,0.7453416149068323,0.0,0.0967409610748291,0.0,0.008975505828857422,0.0,5,10,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.29209621993127144,0.7453416149068323
79,0.2903225806451613,0.0,0.7194244604316546,0.0,0.09374570846557617,0.0,0.006981849670410156,0.0,5,15,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 15}",0.2903225806451613,0.7194244604316546
80,0.2877697841726619,0.0,0.7547169811320754,0.0,0.1296532154083252,0.0,0.00598454475402832,0.0,1,20,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 20}",0.2877697841726619,0.7547169811320754
81,0.2836879432624113,0.0,0.749531542785759,0.0,0.22838854789733887,0.0,0.005984783172607422,0.0,2,20,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 20}",0.2836879432624113,0.749531542785759
82,0.2834008097165992,0.0,0.819672131147541,0.0,0.09474658966064453,0.0,0.005985736846923828,0.0,2,10,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 10}",0.2834008097165992,0.819672131147541
83,0.28124999999999994,0.0,0.6984866123399301,0.0,0.14461922645568848,0.0,0.006976127624511719,0.0,5,20,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 20}",0.28124999999999994,0.6984866123399301
84,0.2801724137931034,0.0,0.837404047452896,0.0,0.1047205924987793,0.0,0.00898122787475586,0.0,1,10,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.2801724137931034,0.837404047452896
85,0.27985074626865664,0.0,0.7802340702210664,0.0,0.08676862716674805,0.0,0.013962268829345703,0.0,1,15,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 15}",0.27985074626865664,0.7802340702210664
86,0.27472527472527475,0.0,0.7746933505487411,0.0,0.12865471839904785,0.0,0.0069806575775146484,0.0,2,15,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 15}",0.27472527472527475,0.7746933505487411
87,0.26200873362445415,0.0,0.8727272727272728,0.0,0.10571622848510742,0.0,0.005984067916870117,0.0,2,5,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 5}",0.26200873362445415,0.8727272727272728
88,0.24336283185840707,0.0,0.8778346744696416,0.0,0.0827796459197998,0.0,0.005983829498291016,0.0,2,2,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.24336283185840707,0.8778346744696416
89,0.23809523809523808,0.0,0.8895478131949592,0.0,0.08178114891052246,0.0,0.010971307754516602,0.0,1,5,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 5}",0.23809523809523808,0.8895478131949592
90,0.17948717948717946,0.0,0.9174311926605505,0.0,0.09175467491149902,0.0,0.007978677749633789,0.0,1,2,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.17948717948717946,0.9174311926605505
