rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
47,0.23076923076923078,0.0,0.9752952919647314,0.0,2.785552501678467,0.0,0.09773874282836914,0.0,15,30,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 30}",0.23076923076923078,0.9752952919647314
53,0.22613065326633164,0.0,0.9752650176678445,0.0,2.752638101577759,0.0,0.09673810005187988,0.0,15,50,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 50}",0.22613065326633164,0.9752650176678445
53,0.22613065326633164,0.0,0.9754071119973413,0.0,2.8863275051116943,0.0,0.09973335266113281,0.0,20,50,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 50}",0.22613065326633164,0.9754071119973413
55,0.21621621621621623,0.0,0.9762845849802371,0.0,2.913210391998291,0.0,0.10072994232177734,0.0,10,30,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 30}",0.21621621621621623,0.9762845849802371
56,0.19662921348314605,0.0,0.9759397244307536,0.0,2.9067656993865967,0.0,0.08975839614868164,0.0,10,100,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 100}",0.19662921348314605,0.9759397244307536
57,0.19230769230769232,0.0,0.9758433985839234,0.0,2.887281656265259,0.0,0.10126614570617676,0.0,10,50,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 50}",0.19230769230769232,0.9758433985839234
58,0.18229166666666666,0.0,0.9752952919647314,0.0,2.835418701171875,0.0,0.09574389457702637,0.0,15,100,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 100}",0.18229166666666666,0.9752952919647314
59,0.15432098765432098,0.0,0.9831214836424255,0.0,3.448296070098877,0.0,0.10172772407531738,0.0,5,30,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 30}",0.15432098765432098,0.9831214836424255
60,0.12345679012345678,0.0,0.9827830581957645,0.0,3.4193735122680664,0.0,0.10272455215454102,0.0,5,20,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 20}",0.12345679012345678,0.9827830581957645
61,0.12269938650306747,0.0,0.9761238886338024,0.0,3.1331489086151123,0.0,0.10571575164794922,0.0,5,80,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 80}",0.12269938650306747,0.9761238886338024
62,0.12195121951219512,0.0,0.9834493684078874,0.0,3.0523643493652344,0.0,0.10970735549926758,0.0,5,50,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 50}",0.12195121951219512,0.9834493684078874
63,0.1212121212121212,0.0,0.9828311872317372,0.0,3.404414176940918,0.0,0.10471963882446289,0.0,5,15,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 15}",0.1212121212121212,0.9828311872317372
64,0.11560693641618498,0.0,0.9765445985918427,0.0,2.888798713684082,0.0,0.10472249984741211,0.0,10,2,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 2}",0.11560693641618498,0.9765445985918427
64,0.11560693641618498,0.0,0.9765445985918427,0.0,2.83793306350708,0.0,0.09773945808410645,0.0,10,5,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 5}",0.11560693641618498,0.9765445985918427
64,0.11560693641618498,0.0,0.9765445985918427,0.0,2.864863395690918,0.0,0.09175276756286621,0.0,10,10,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 10}",0.11560693641618498,0.9765445985918427
64,0.11560693641618498,0.0,0.9765445985918427,0.0,2.8279597759246826,0.0,0.08976101875305176,0.0,10,15,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 15}",0.11560693641618498,0.9765445985918427
64,0.11560693641618498,0.0,0.9765445985918427,0.0,2.837932586669922,0.0,0.09175467491149902,0.0,10,20,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 20}",0.11560693641618498,0.9765445985918427
69,0.09375,0.0,0.9837466138778914,0.0,3.0742971897125244,0.0,0.10870909690856934,0.0,5,2,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.09375,0.9837466138778914
69,0.09375,0.0,0.9837466138778914,0.0,3.0892581939697266,0.0,0.10471892356872559,0.0,5,5,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 5}",0.09375,0.9837466138778914
69,0.09375,0.0,0.9837466138778914,0.0,3.085268259048462,0.0,0.11668848991394043,0.0,5,10,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.09375,0.9837466138778914
72,0.09316770186335403,0.0,0.9761596593044132,0.0,3.019448757171631,0.0,0.10671448707580566,0.0,5,100,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 100}",0.09316770186335403,0.9761596593044132
73,0.06622516556291391,0.0,0.9837194740137758,0.0,2.6708598136901855,0.0,0.10372138023376465,0.0,2,5,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 5}",0.06622516556291391,0.9837194740137758
73,0.06622516556291391,0.0,0.9830932999373827,0.0,2.6110177040100098,0.0,0.10471844673156738,0.0,2,50,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 50}",0.06622516556291391,0.9830932999373827
75,0.06535947712418301,0.0,0.9830451849995824,0.0,2.658889055252075,0.0,0.09973359107971191,0.0,2,20,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 20}",0.06535947712418301,0.9830451849995824
76,0.06369426751592357,0.0,0.9893617021276594,0.0,3.5610013008117676,0.0,0.07081246376037598,0.0,1,2,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.06369426751592357,0.9893617021276594
