rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__min_split_loss,params,split0_test_score,split0_train_score
59,0.37288135593220334,0.0,0.9837811271297512,0.0,23.681753635406494,0.0,0.06083869934082031,0.0,0.1,6,1,10,"{'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__min_child_weight': 1, 'model__min_split_loss': 10}",0.37288135593220334,0.9837811271297512
60,0.3725961538461538,0.0,0.9686402712192759,0.0,23.22403621673584,0.0,0.026034832000732422,0.0,0.5,6,1,100,"{'model__learning_rate': 0.5, 'model__max_depth': 6, 'model__min_child_weight': 1, 'model__min_split_loss': 100}",0.3725961538461538,0.9686402712192759
61,0.37246049661399544,0.0,0.9654978285346628,0.0,33.42459321022034,0.0,0.06699609756469727,0.0,0.1,6,5,100,"{'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__min_split_loss': 100}",0.37246049661399544,0.9654978285346628
62,0.3723404255319149,0.0,0.9830563968240975,0.0,33.49097681045532,0.0,0.027506351470947266,0.0,0.5,9,10,10,"{'model__learning_rate': 0.5, 'model__max_depth': 9, 'model__min_child_weight': 10, 'model__min_split_loss': 10}",0.3723404255319149,0.9830563968240975
63,0.3715170278637772,0.0,0.9794087665647297,0.0,14.413946151733398,0.0,0.04403400421142578,0.0,0.3,3,5,10,"{'model__learning_rate': 0.3, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__min_split_loss': 10}",0.3715170278637772,0.9794087665647297
64,0.370919881305638,0.0,0.9771377430640306,0.0,32.45796179771423,0.0,0.029985666275024414,0.0,0.3,9,10,50,"{'model__learning_rate': 0.3, 'model__max_depth': 9, 'model__min_child_weight': 10, 'model__min_split_loss': 50}",0.370919881305638,0.9771377430640306
65,0.3691275167785234,0.0,0.9828954906293478,0.0,24.038504362106323,0.0,0.03789806365966797,0.0,0.8,6,10,10,"{'model__learning_rate': 0.8, 'model__max_depth': 6, 'model__min_child_weight': 10, 'model__min_split_loss': 10}",0.3691275167785234,0.9828954906293478
66,0.36817102137767227,0.0,0.96778745363651,0.0,27.817785501480103,0.0,0.035475969314575195,0.0,0.1,6,10,100,"{'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__min_child_weight': 10, 'model__min_split_loss': 100}",0.36817102137767227,0.96778745363651
67,0.36809815950920244,0.0,0.9805282279462793,0.0,14.15302300453186,0.0,0.032982587814331055,0.0,0.5,3,5,10,"{'model__learning_rate': 0.5, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__min_split_loss': 10}",0.36809815950920244,0.9805282279462793
68,0.3674121405750799,0.0,0.98064832203805,0.0,32.10875368118286,0.0,0.02393627166748047,0.0,0.8,9,5,50,"{'model__learning_rate': 0.8, 'model__max_depth': 9, 'model__min_child_weight': 5, 'model__min_split_loss': 50}",0.3674121405750799,0.98064832203805
69,0.3669724770642202,0.0,0.9782918584287053,0.0,32.927993297576904,0.0,0.038007259368896484,0.0,0.3,9,5,50,"{'model__learning_rate': 0.3, 'model__max_depth': 9, 'model__min_child_weight': 5, 'model__min_split_loss': 50}",0.3669724770642202,0.9782918584287053
70,0.36679536679536684,0.0,0.9882740176918331,0.0,16.023042678833008,0.0,0.04188799858093262,0.0,0.8,3,5,0,"{'model__learning_rate': 0.8, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__min_split_loss': 0}",0.36679536679536684,0.9882740176918331
71,0.3658536585365853,0.0,0.973551841635567,0.0,34.785075187683105,0.0,0.026928424835205078,0.0,0.5,9,10,100,"{'model__learning_rate': 0.5, 'model__max_depth': 9, 'model__min_child_weight': 10, 'model__min_split_loss': 100}",0.3658536585365853,0.973551841635567
72,0.3654485049833887,0.0,0.9824532700723956,0.0,28.65748882293701,0.0,0.04488539695739746,0.0,0.1,6,5,10,"{'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__min_split_loss': 10}",0.3654485049833887,0.9824532700723956
73,0.3641456582633053,0.0,0.9756246191346739,0.0,34.073835134506226,0.0,0.026928424835205078,0.0,0.8,9,1,100,"{'model__learning_rate': 0.8, 'model__max_depth': 9, 'model__min_child_weight': 1, 'model__min_split_loss': 100}",0.3641456582633053,0.9756246191346739
74,0.36312849162011174,0.0,0.9763830738587863,0.0,23.129980087280273,0.0,0.026003122329711914,0.0,0.3,6,1,50,"{'model__learning_rate': 0.3, 'model__max_depth': 6, 'model__min_child_weight': 1, 'model__min_split_loss': 50}",0.36312849162011174,0.9763830738587863
75,0.36253776435045315,0.0,0.9784114052953158,0.0,33.97596764564514,0.0,0.02801036834716797,0.0,0.5,9,10,50,"{'model__learning_rate': 0.5, 'model__max_depth': 9, 'model__min_child_weight': 10, 'model__min_split_loss': 50}",0.36253776435045315,0.9784114052953158
76,0.3618421052631579,0.0,0.9842648746107195,0.0,13.93599820137024,0.0,0.02798938751220703,0.0,0.8,3,1,10,"{'model__learning_rate': 0.8, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__min_split_loss': 10}",0.3618421052631579,0.9842648746107195
77,0.3611111111111111,0.0,0.9742736568738841,0.0,32.61598753929138,0.0,0.02598738670349121,0.0,0.5,9,5,100,"{'model__learning_rate': 0.5, 'model__max_depth': 9, 'model__min_child_weight': 5, 'model__min_split_loss': 100}",0.3611111111111111,0.9742736568738841
78,0.3596287703016241,0.0,0.9663780954298371,0.0,23.28401255607605,0.0,0.03596854209899902,0.0,0.5,6,10,100,"{'model__learning_rate': 0.5, 'model__max_depth': 6, 'model__min_child_weight': 10, 'model__min_split_loss': 100}",0.3596287703016241,0.9663780954298371
79,0.3584229390681004,0.0,0.9834991606272776,0.0,21.54139542579651,0.0,0.032912492752075195,0.0,0.8,6,5,10,"{'model__learning_rate': 0.8, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__min_split_loss': 10}",0.3584229390681004,0.9834991606272776
80,0.3541076487252125,0.0,0.9761401512072189,0.0,23.57797384262085,0.0,0.032015085220336914,0.0,0.5,6,10,50,"{'model__learning_rate': 0.5, 'model__max_depth': 6, 'model__min_child_weight': 10, 'model__min_split_loss': 50}",0.3541076487252125,0.9761401512072189
81,0.35248041775456923,0.0,0.9732128383854757,0.0,28.90073561668396,0.0,0.024933338165283203,0.0,0.8,9,5,100,"{'model__learning_rate': 0.8, 'model__max_depth': 9, 'model__min_child_weight': 5, 'model__min_split_loss': 100}",0.35248041775456923,0.9732128383854757
82,0.3503184713375796,0.0,0.9805682560418028,0.0,21.591310739517212,0.0,0.023936033248901367,0.0,0.8,6,1,50,"{'model__learning_rate': 0.8, 'model__max_depth': 6, 'model__min_child_weight': 1, 'model__min_split_loss': 50}",0.3503184713375796,0.9805682560418028
82,0.3503184713375796,0.0,0.9796842491739076,0.0,34.07881712913513,0.0,0.02593064308166504,0.0,0.8,9,1,50,"{'model__learning_rate': 0.8, 'model__max_depth': 9, 'model__min_child_weight': 1, 'model__min_split_loss': 50}",0.3503184713375796,0.9796842491739076
84,0.34954407294832834,0.0,0.9801281266576897,0.0,15.592644453048706,0.0,0.03191494941711426,0.0,0.8,3,5,10,"{'model__learning_rate': 0.8, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__min_split_loss': 10}",0.34954407294832834,0.9801281266576897
85,0.3488372093023256,0.0,0.9653883260974433,0.0,13.986940383911133,0.0,0.026970863342285156,0.0,0.5,3,1,100,"{'model__learning_rate': 0.5, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__min_split_loss': 100}",0.3488372093023256,0.9653883260974433
86,0.34722222222222227,0.0,0.9747981007264315,0.0,23.719019174575806,0.0,0.024991989135742188,0.0,0.5,6,5,50,"{'model__learning_rate': 0.5, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__min_split_loss': 50}",0.34722222222222227,0.9747981007264315
87,0.34675615212527966,0.0,0.9647853352629039,0.0,26.452351331710815,0.0,0.014962196350097656,0.0,0.8,9,10,200,"{'model__learning_rate': 0.8, 'model__max_depth': 9, 'model__min_child_weight': 10, 'model__min_split_loss': 200}",0.34675615212527966,0.9647853352629039
88,0.34615384615384615,0.0,0.9709365778729939,0.0,26.88496732711792,0.0,0.02400040626525879,0.0,0.8,6,10,50,"{'model__learning_rate': 0.8, 'model__max_depth': 6, 'model__min_child_weight': 10, 'model__min_split_loss': 50}",0.34615384615384615,0.9709365778729939
89,0.34562211981566815,0.0,0.9920700479101274,0.0,23.073960542678833,0.0,0.04402971267700195,0.0,0.3,6,1,0,"{'model__learning_rate': 0.3, 'model__max_depth': 6, 'model__min_child_weight': 1, 'model__min_split_loss': 0}",0.34562211981566815,0.9920700479101274
90,0.34438775510204084,0.0,0.970846306255307,0.0,26.95046591758728,0.0,0.01496124267578125,0.0,0.8,9,10,100,"{'model__learning_rate': 0.8, 'model__max_depth': 9, 'model__min_child_weight': 10, 'model__min_split_loss': 100}",0.34438775510204084,0.970846306255307
91,0.3443526170798898,0.0,0.9750304506699147,0.0,23.572473287582397,0.0,0.04351449012756348,0.0,0.5,6,1,50,"{'model__learning_rate': 0.5, 'model__max_depth': 6, 'model__min_child_weight': 1, 'model__min_split_loss': 50}",0.3443526170798898,0.9750304506699147
92,0.34292035398230086,0.0,0.9647148655708716,0.0,15.986385107040405,0.0,0.02293848991394043,0.0,0.8,3,1,200,"{'model__learning_rate': 0.8, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__min_split_loss': 200}",0.34292035398230086,0.9647148655708716
92,0.34292035398230086,0.0,0.9647148655708716,0.0,13.421670913696289,0.0,0.023936033248901367,0.0,0.8,3,5,200,"{'model__learning_rate': 0.8, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__min_split_loss': 200}",0.34292035398230086,0.9647148655708716
94,0.34050179211469533,0.0,0.9844262295081968,0.0,28.360692977905273,0.0,0.017955303192138672,0.0,0.8,9,10,10,"{'model__learning_rate': 0.8, 'model__max_depth': 9, 'model__min_child_weight': 10, 'model__min_split_loss': 10}",0.34050179211469533,0.9844262295081968
95,0.34037558685446007,0.0,0.9681451612903226,0.0,22.669960975646973,0.0,0.05304431915283203,0.0,0.3,6,10,100,"{'model__learning_rate': 0.3, 'model__max_depth': 6, 'model__min_child_weight': 10, 'model__min_split_loss': 100}",0.34037558685446007,0.9681451612903226
96,0.34005037783375314,0.0,0.9694413046988536,0.0,33.12098503112793,0.0,0.0249631404876709,0.0,0.5,9,1,100,"{'model__learning_rate': 0.5, 'model__max_depth': 9, 'model__min_child_weight': 1, 'model__min_split_loss': 100}",0.34005037783375314,0.9694413046988536
97,0.3397027600849257,0.0,0.9599232061435085,0.0,32.876962661743164,0.0,0.02299785614013672,0.0,0.5,9,1,200,"{'model__learning_rate': 0.5, 'model__max_depth': 9, 'model__min_child_weight': 1, 'model__min_split_loss': 200}",0.3397027600849257,0.9599232061435085
97,0.3397027600849257,0.0,0.9599232061435085,0.0,32.384995460510254,0.0,0.027996540069580078,0.0,0.5,9,5,200,"{'model__learning_rate': 0.5, 'model__max_depth': 9, 'model__min_child_weight': 5, 'model__min_split_loss': 200}",0.3397027600849257,0.9599232061435085
